source,target,status,preserve_query_string,include_subdomains,subpath_matching,wildcard
https://www.findmyisland.com/profiles/osm-relation-3516492.html,https://www.findmyisland.com/islands/northern-ireland/aghinish/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-relation-3516492,https://www.findmyisland.com/islands/northern-ireland/aghinish/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-405701042.html,https://www.findmyisland.com/islands/ireland/aghinish-rocks/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-405701042,https://www.findmyisland.com/islands/ireland/aghinish-rocks/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-146468873.html,https://www.findmyisland.com/islands/scotland/aigeach/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-146468873,https://www.findmyisland.com/islands/scotland/aigeach/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/aiguille-de-belval.html,https://www.findmyisland.com/islands/england/aiguille-de-belval/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=aiguille-de-belval,https://www.findmyisland.com/islands/england/aiguille-de-belval/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q27118715.html,https://www.findmyisland.com/islands/crown-dependencies/aiguillon/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q27118715,https://www.findmyisland.com/islands/crown-dependencies/aiguillon/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-495525351.html,https://www.findmyisland.com/islands/scotland/ailsa-craig/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-495525351,https://www.findmyisland.com/islands/scotland/ailsa-craig/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-262271337.html,https://www.findmyisland.com/islands/scotland/aiplin/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-262271337,https://www.findmyisland.com/islands/scotland/aiplin/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-1299944671.html,https://www.findmyisland.com/islands/scotland/aird-an-laoigh/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-1299944671,https://www.findmyisland.com/islands/scotland/aird-an-laoigh/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-292853241.html,https://www.findmyisland.com/islands/scotland/aird-chaol/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-292853241,https://www.findmyisland.com/islands/scotland/aird-chaol/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-4012953.html,https://www.findmyisland.com/islands/scotland/aird-orasay/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-4012953,https://www.findmyisland.com/islands/scotland/aird-orasay/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-231528169.html,https://www.findmyisland.com/islands/scotland/aird-nan-laogh/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-231528169,https://www.findmyisland.com/islands/scotland/aird-nan-laogh/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-3493174.html,https://www.findmyisland.com/islands/scotland/airor-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-3493174,https://www.findmyisland.com/islands/scotland/airor-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q24659098.html,https://www.findmyisland.com/islands/scotland/aith-baa/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q24659098,https://www.findmyisland.com/islands/scotland/aith-baa/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q24659107.html,https://www.findmyisland.com/islands/england/aldeburgh-napes/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q24659107,https://www.findmyisland.com/islands/england/aldeburgh-napes/,301,FALSE,FALSE,FALSE,FALSE
